Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Journal Article,21,Stephane,,Verguet,Catherine Arsenault; Bereket Yakob; Munir Kassa; Girmaye Dinsa; Stéphane Verguet,Using health management information system data: case study and verification of institutional deliveries in Ethiopia,BMJ Global Health,No,6.0,8,,August,,,2021,https://pubmed.ncbi.nlm.nih.gov/34426404/,No page number.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,08/01/2021,Yes,"Arsenault Catherine, Bereket Yakob, Munir Kassa, Girmaye Dinsa and Stéphane Verguet","Arsenault Catherine, Bereket Yakob, Munir Kassa, Girmaye Dinsa and Stéphane Verguet. 2021. Using health management information system data: case study and verification of institutional deliveries in Ethiopia. BMJ Global Health 6.0, no. 8 (August): nan."
,Journal Article,31,Kevin,,Croke,Margaret McConnell; Mansha Mahajan; Sebastian Bauhoff; Kevin Croke; Stéphane Verguet; Marcia C Castro; Kheya Melo Furtado; Abha Mehndiratta; Misha Farzana; Sabina Faiz Rashid; Richard Cash,How are Health Workers Paid and Does it Matter? Conceptualising the Potential Implications of Digitising Health Worker Payments,BMJ Global Health,No,7.0,1,,January,,,2022,https://pubmed.ncbi.nlm.nih.gov/35078811/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,01/01/2022,Yes,"McConnell Margaret, Mansha Mahajan, Sebastian Bauhoff, Kevin Croke, Stéphane Verguet, Marcia C Castro, Kheya Melo Furtado, Abha Mehndiratta, Misha Farzana, Sabina Faiz Rashid and Richard Cash","McConnell Margaret, Mansha Mahajan, Sebastian Bauhoff, Kevin Croke, Stéphane Verguet, Marcia C Castro, Kheya Melo Furtado, Abha Mehndiratta, Misha Farzana, Sabina Faiz Rashid and Richard Cash. 2022. How are Health Workers Paid and Does it Matter? Conceptualising the Potential Implications of Digitising Health Worker Payments. BMJ Global Health 7.0, no. 1 (January): nan."
,Journal Article,31,Kevin,,Croke,Kevin Croke; Andualem Telaye Mengistu; Stephen D O'Connell; Kibrom Tafere,The Impact of a Health Facility Construction Campaign on Health Service Utilization and Outcomes: Analysis of Spatially-linked Survey and Facility Location Data in Ethiopia,BMJ Global Health,No,5.0,8,,August,,,2020,https://pubmed.ncbi.nlm.nih.gov/32859649/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,08/01/2020,Yes,"Croke Kevin, Andualem Telaye Mengistu, Stephen D O'Connell and Kibrom Tafere","Croke Kevin, Andualem Telaye Mengistu, Stephen D O'Connell and Kibrom Tafere. 2020. The Impact of a Health Facility Construction Campaign on Health Service Utilization and Outcomes: Analysis of Spatially-linked Survey and Facility Location Data in Ethiopia. BMJ Global Health 5.0, no. 8 (August): nan."
,Journal Article,61,Margaret,Elizabeth,Kruk,Svetlana V Doubova; Zoé Alejandro Robledo-Aburto; Célida Duque-Molina; Gabriela Borrayo-Sánchez; Margot González-León; Ricardo Avilés-Hernández; Saúl Eduardo Contreras-Sánchez; Hannah H Leslie; Margaret Kruk; Ricardo Pérez-Cuevas; Catherine Arsenault,Overcoming disruptions in essential health services during the COVID-19 pandemic in Mexico,BMJ Global Health,No,7.0,3,,March,,,2022,https://pubmed.ncbi.nlm.nih.gov/35260393/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,03/01/2022,Yes,"Doubova Svetlana V, Zoé Alejandro Robledo-Aburto, Célida Duque-Molina, Gabriela Borrayo-Sánchez, Margot González-León, Ricardo Avilés-Hernández, Saúl Eduardo Contreras-Sánchez, Hannah H Leslie, Margaret Kruk, Ricardo Pérez-Cuevas and Catherine Arsenault","Doubova Svetlana V, Zoé Alejandro Robledo-Aburto, Célida Duque-Molina, Gabriela Borrayo-Sánchez, Margot González-León, Ricardo Avilés-Hernández, Saúl Eduardo Contreras-Sánchez, Hannah H Leslie, Margaret Kruk, Ricardo Pérez-Cuevas and Catherine Arsenault. 2022. Overcoming disruptions in essential health services during the COVID-19 pandemic in Mexico. BMJ Global Health 7.0, no. 3 (March): nan."
,Journal Article,61,Margaret,Elizabeth,Kruk,Nancy A Scott; Jeanette L Kaiser; Thandiwe Ngoma; Kathleen L McGlasson; Elizabeth G Henry; Michelle L Munro-Kramer; Godfrey Biemba; Misheck Bwalya; Viviane R Sakanga; Gertrude Musonda; Davidson H Hamer; Carol J Boyd; Rachael Bonawitz; Taryn Vian; Margaret E Kruk; Rachel M Fong; Parker S Chastain; Kaluba Mataka; Eden Ahmed Mdluli; Philip Veliz; Jody R Lori; Peter C Rockers,"If we build it, will they come? Results of a quasi-experimental study assessing the impact of maternity waiting homes on facility-based childbirth and maternity care in Zambia",BMJ Global Health,No,6.0,12,,December,,,2021,https://pubmed.ncbi.nlm.nih.gov/34876457/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,12/01/2021,Yes,"Scott Nancy A, Jeanette L Kaiser, Thandiwe Ngoma, Kathleen L McGlasson, Elizabeth G Henry, Michelle L Munro-Kramer, Godfrey Biemba, Misheck Bwalya, Viviane R Sakanga, Gertrude Musonda, Davidson H Hamer, Carol J Boyd, Rachael Bonawitz, Taryn Vian, Margaret E Kruk, Rachel M Fong, Parker S Chastain, Kaluba Mataka, Eden Ahmed Mdluli, Philip Veliz, Jody R Lori and Peter C Rockers","Scott Nancy A, Jeanette L Kaiser, Thandiwe Ngoma, Kathleen L McGlasson, Elizabeth G Henry, Michelle L Munro-Kramer, Godfrey Biemba, Misheck Bwalya, Viviane R Sakanga, Gertrude Musonda, Davidson H Hamer, Carol J Boyd, Rachael Bonawitz, Taryn Vian, Margaret E Kruk, Rachel M Fong, Parker S Chastain, Kaluba Mataka, Eden Ahmed Mdluli, Philip Veliz, Jody R Lori and Peter C Rockers. 2021. If we build it, will they come? Results of a quasi-experimental study assessing the impact of maternity waiting homes on facility-based childbirth and maternity care in Zambia. BMJ Global Health 6.0, no. 12 (December): nan."
,Journal Article,61,Margaret,Elizabeth,Kruk,Svetlana V Doubova; Hannah H Leslie; Margaret E Kruk; Ricardo Pérez-Cuevas; Catherine Arsenault,Disruption in essential health services in Mexico during COVID-19: an interrupted time series analysis of health information system data,BMJ Global Health,No,6.0,9,,September,,,2021,https://pubmed.ncbi.nlm.nih.gov/34470746/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,09/01/2021,Yes,"Doubova Svetlana V, Hannah H Leslie, Margaret E Kruk, Ricardo Pérez-Cuevas and Catherine Arsenault","Doubova Svetlana V, Hannah H Leslie, Margaret E Kruk, Ricardo Pérez-Cuevas and Catherine Arsenault. 2021. Disruption in essential health services in Mexico during COVID-19: an interrupted time series analysis of health information system data. BMJ Global Health 6.0, no. 9 (September): nan."
,Journal Article,61,Margaret,Elizabeth,Kruk,Celestin Hategeka; Catherine Arsenault; Margaret E Kruk,"Temporal trends in coverage, quality and equity of maternal and child health services in Rwanda, 2000-2015",BMJ Global Health,No,5.0,11,,November,,,2020,https://pubmed.ncbi.nlm.nih.gov/33187962/,No page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,11/01/2020,Yes,"Hategeka Celestin, Catherine Arsenault and Margaret E Kruk","Hategeka Celestin, Catherine Arsenault and Margaret E Kruk. 2020. Temporal trends in coverage, quality and equity of maternal and child health services in Rwanda, 2000-2015. BMJ Global Health 5.0, no. 11 (November): nan."
,Journal Article,62,Rifat,,Atun,Dennis Tuan Vu La; Yang Zhao; Perianayagam Arokiasamy; Rifat Atun; Stewart Mercer; Tiara Marthias; Barbara McPake; Sanghamitra Pati; Raffaele Palladino; John Tayu Lee,Multimorbidity and out-of-pocket expenditure for medicines in China and India,BMJ Global Health,No,7.0,11,,November,,,2022,https://pubmed.ncbi.nlm.nih.gov/36328381/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,11/01/2022,Yes,"La Dennis Tuan Vu, Yang Zhao, Perianayagam Arokiasamy, Rifat Atun, Stewart Mercer, Tiara Marthias, Barbara McPake, Sanghamitra Pati, Raffaele Palladino and John Tayu Lee","La Dennis Tuan Vu, Yang Zhao, Perianayagam Arokiasamy, Rifat Atun, Stewart Mercer, Tiara Marthias, Barbara McPake, Sanghamitra Pati, Raffaele Palladino and John Tayu Lee. 2022. Multimorbidity and out-of-pocket expenditure for medicines in China and India. BMJ Global Health 7.0, no. 11 (November): nan."
,Journal Article,68,Sebastian,,Bauhoff,Margaret McConnell; Mansha Mahajan; Sebastian Bauhoff; Kevin Croke; Stéphane Verguet; Marcia C Castro; Kheya Melo Furtado; Abha Mehndiratta; Misha Farzana; Sabina Faiz Rashid; Richard Cash,How are Health Workers Paid and Does it Matter? Conceptualising the Potential Implications of Digitising Health Worker Payments,BMJ Global Health,,7.0,1,,,,,2022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8796226/,,,,,,,,,,,,Summer - Maceo,,,01/01/2022,Yes,"McConnell Margaret, Mansha Mahajan, Sebastian Bauhoff, Kevin Croke, Stéphane Verguet, Marcia C Castro, Kheya Melo Furtado, Abha Mehndiratta, Misha Farzana, Sabina Faiz Rashid and Richard Cash","McConnell Margaret, Mansha Mahajan, Sebastian Bauhoff, Kevin Croke, Stéphane Verguet, Marcia C Castro, Kheya Melo Furtado, Abha Mehndiratta, Misha Farzana, Sabina Faiz Rashid and Richard Cash. 2022. How are Health Workers Paid and Does it Matter? Conceptualising the Potential Implications of Digitising Health Worker Payments. BMJ Global Health 7.0, no. 1 (nan): nan."
,Journal Article,68,Sebastian,,Bauhoff,Denizhan Duran; Sebastian Bauhoff; Peter Berman; Tania Gaudet; Clovis Konan; Emre Ozaltin; Margaret E Kruk,The Role of Health System Context in the Implementation of Performance-Based Financing: Evidence from Cote d’Ivoire,BMJ Global Health,,5.0,,,August,,,2020,https://gh.bmj.com/content/bmjgh/5/9/e002934.full.pdf,,,,,,,,,,,,Summer - Maceo,,pdf,08/01/2020,Yes,"Duran Denizhan, Sebastian Bauhoff, Peter Berman, Tania Gaudet, Clovis Konan, Emre Ozaltin and Margaret E Kruk","Duran Denizhan, Sebastian Bauhoff, Peter Berman, Tania Gaudet, Clovis Konan, Emre Ozaltin and Margaret E Kruk. 2020. The Role of Health System Context in the Implementation of Performance-Based Financing: Evidence from Cote d’Ivoire. BMJ Global Health 5.0, no. nan (August): nan."
,Journal Article,68,Sebastian,,Bauhoff,Rocco Friebel; Aoife Molloy; Sheila Leatherman; Jennifer Dixon; Sebastian Bauhoff; Kalipso Chalkidou,Achieving high-quality universal health coverage: a perspective from the National Health Service in England,BMJ Global Health,,3.0,6,,,,,2018,https://gh.bmj.com/content/3/6/e000944,,,,,,,,,,,,Summer - Maceo,,,01/01/2018,Yes,"Friebel Rocco, Aoife Molloy, Sheila Leatherman, Jennifer Dixon, Sebastian Bauhoff and Kalipso Chalkidou","Friebel Rocco, Aoife Molloy, Sheila Leatherman, Jennifer Dixon, Sebastian Bauhoff and Kalipso Chalkidou. 2018. Achieving high-quality universal health coverage: a perspective from the National Health Service in England. BMJ Global Health 3.0, no. 6 (nan): nan."
,Journal Article,68,Sebastian,,Bauhoff,Y-Ling Chi; Mohamed Gad; Sebastian Bauhoff; Kalipso Chalkidou; Itamar Megiddo; Francis Ruiz; Peter Smith,"Mind the Costs, too: Towards Better Cost-Effectiveness Analyses of PBF Programmes",BMJ Global Health,,3.0,5,,,,,2018,https://gh.bmj.com/content/3/5/e000994,,,,,,,,,,,,Summer - Maceo,,,01/01/2018,Yes,"Chi Y-Ling, Mohamed Gad, Sebastian Bauhoff, Kalipso Chalkidou, Itamar Megiddo, Francis Ruiz and Peter Smith","Chi Y-Ling, Mohamed Gad, Sebastian Bauhoff, Kalipso Chalkidou, Itamar Megiddo, Francis Ruiz and Peter Smith. 2018. Mind the Costs, too: Towards Better Cost-Effectiveness Analyses of PBF Programmes. BMJ Global Health 3.0, no. 5 (nan): nan."
,Journal Article,117,Wafaie,,Fawzi,Christopher T Andersen; Daniel M Marsden; Christopher P Duggan; Enju Liu; Dariush Mozaffarian; Wafaie W Fawzi,"Oral iron supplementation and anaemia in children according to schedule, duration, dose and cosupplementation: a systematic review and meta-analysis of 129 randomised trials",BMJ Global Health,,8.0,2,,February,,,2023,https://pubmed.ncbi.nlm.nih.gov/36849195/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,02/01/2023,Yes,"Andersen Christopher T, Daniel M Marsden, Christopher P Duggan, Enju Liu, Dariush Mozaffarian and Wafaie W Fawzi","Andersen Christopher T, Daniel M Marsden, Christopher P Duggan, Enju Liu, Dariush Mozaffarian and Wafaie W Fawzi. 2023. Oral iron supplementation and anaemia in children according to schedule, duration, dose and cosupplementation: a systematic review and meta-analysis of 129 randomised trials. BMJ Global Health 8.0, no. 2 (February): nan."
,Journal Article,119,Goodarz,,Danaei,Rakesh P Suseela; Renjini Balakrishnan Ambika; Sreelakshmi Mohandas; Jaideep C Menon; Mathews Numpelil; Beena K Vasudevan; Rajani Ved; Goodarz Danaei; Donna Spiegelman,"Effectiveness of a community-based education and peer support led by women's self-help groups in improving the control of hypertension in urban slums of Kerala, India: a cluster randomised controlled pragmatic trial",BMJ Global Health,,7.0,11,,November,,,2022,https://pubmed.ncbi.nlm.nih.gov/36384950/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,11/01/2022,Yes,"Suseela Rakesh P, Renjini Balakrishnan Ambika, Sreelakshmi Mohandas, Jaideep C Menon, Mathews Numpelil, Beena K Vasudevan, Rajani Ved, Goodarz Danaei and Donna Spiegelman","Suseela Rakesh P, Renjini Balakrishnan Ambika, Sreelakshmi Mohandas, Jaideep C Menon, Mathews Numpelil, Beena K Vasudevan, Rajani Ved, Goodarz Danaei and Donna Spiegelman. 2022. Effectiveness of a community-based education and peer support led by women's self-help groups in improving the control of hypertension in urban slums of Kerala, India: a cluster randomised controlled pragmatic trial. BMJ Global Health 7.0, no. 11 (November): nan."
,Journal Article,119,Goodarz,,Danaei,Dongqing Wang; Molin Wang; Anne Marie Darling; Nandita Perumal; Enju Liu; Goodarz Danaei; Wafaie W Fawzi,Gestational weight gain in low-income and middle-income countries: a modelling analysis using nationally representative data,BMJ Global Health,,5.0,11,,November,,,2020,https://pubmed.ncbi.nlm.nih.gov/33177038/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,11/01/2020,Yes,"Wang Dongqing, Molin Wang, Anne Marie Darling, Nandita Perumal, Enju Liu, Goodarz Danaei and Wafaie W Fawzi","Wang Dongqing, Molin Wang, Anne Marie Darling, Nandita Perumal, Enju Liu, Goodarz Danaei and Wafaie W Fawzi. 2020. Gestational weight gain in low-income and middle-income countries: a modelling analysis using nationally representative data. BMJ Global Health 5.0, no. 11 (November): nan."
,Journal Article,132,Satchit,,Balsari,Sunita Nadhamuni; Oommen John; Mallari Kulkarni; Eshan Nanda; Sethuraman Venkatraman; Devesh Varma; Satchit Balsari; Nachiket Gudi; Shantidev Samantaray; Haritha Reddy; Vikas Sheel,Driving Digital Transformation of Comprehensive Primary Health Services at Scale in India: An Enterprise Architecture Framework,BMJ Global Health,No,6.0,5,5242,July,,,2021,https://gh.bmj.com/content/6/Suppl_5/e005242.abstract,,,,,,,,,,,,Kiki - 10/15/23 batch,,,07/01/2021,Yes,"Nadhamuni Sunita, Oommen John, Mallari Kulkarni, Eshan Nanda, Sethuraman Venkatraman, Devesh Varma, Satchit Balsari, Nachiket Gudi, Shantidev Samantaray, Haritha Reddy and Vikas Sheel","Nadhamuni Sunita, Oommen John, Mallari Kulkarni, Eshan Nanda, Sethuraman Venkatraman, Devesh Varma, Satchit Balsari, Nachiket Gudi, Shantidev Samantaray, Haritha Reddy and Vikas Sheel. 2021. Driving Digital Transformation of Comprehensive Primary Health Services at Scale in India: An Enterprise Architecture Framework. BMJ Global Health 6.0, no. 5 (July): 5242."
,Journal Article,118,Shekhar,,Sexana,Raghul Sekar; Sunil Kumar Saxena; Kalaiarasi Raja; Antony Raj James,Rhinitis caseosa,BMJ Case Reports,,14.0,3,,March,,,2021,https://pubmed.ncbi.nlm.nih.gov/33782073/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,03/01/2021,No,"Sekar Raghul, Sunil Kumar Saxena, Kalaiarasi Raja and Antony Raj James","Sekar Raghul, Sunil Kumar Saxena, Kalaiarasi Raja and Antony Raj James. 2021. Rhinitis caseosa. BMJ Case Reports 14.0, no. 3 (March): nan."
,Journal Article,118,Shakhar,,Sexana,Pradipta Kumar Parida; Saranya Thangavel; Kalaiarasi Raja; Sunil Kumar Saxena,Lacrimal sac rhinosporidiosis,BMJ Case Report,,14.0,6,,June,,,2021,https://pubmed.ncbi.nlm.nih.gov/34183318/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,06/01/2021,No,"Parida Pradipta Kumar, Saranya Thangavel, Kalaiarasi Raja and Sunil Kumar Saxena","Parida Pradipta Kumar, Saranya Thangavel, Kalaiarasi Raja and Sunil Kumar Saxena. 2021. Lacrimal sac rhinosporidiosis. BMJ Case Report 14.0, no. 6 (June): nan."
,Journal Article,118,Shekhar,,Sexana,Madhusudan Astekar; Shipra Saxena; Aditi Murari; Bhari Sharanesha Manjunatha,Ewing's sarcoma in maxilla,BMJ Case Report,,12.0,2,,February,,,2019,https://pubmed.ncbi.nlm.nih.gov/30796079/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,02/01/2019,No,"Astekar Madhusudan, Shipra Saxena, Aditi Murari and Bhari Sharanesha Manjunatha","Astekar Madhusudan, Shipra Saxena, Aditi Murari and Bhari Sharanesha Manjunatha. 2019. Ewing's sarcoma in maxilla. BMJ Case Report 12.0, no. 2 (February): nan."
,Journal Article,62,Rifat,,Atun,Michaela Theilmann; Julia M Lemp; Volker Winkler; Jennifer Manne-Goehler; Maja E Marcus; Charlotte Probst; William A Lopez-Arboleda; Cara Ebert; Christian Bommer; Maya Mathur; Glennis Andall-Brereton; Silver K Bahendeka; Pascal Bovet; Farshad Farzadfar; Erfan Ghasemi; Mary T Mayige; Sahar Saeedi Moghaddam; Kibachio J Mwangi; Shohreh Naderimagham; Lela Sturua; Rifat Atun; Justine I Davies; Till Bärnighausen; Sebastian Vollmer; Pascal Geldsetzer,The socioeconomic gradient of alcohol use: an analysis of nationally representative survey data from 55 low-income and middle-income countries,BMJ,No,378.0,,,August,,,2022,https://pubmed.ncbi.nlm.nih.gov/36041745/,No issue or page numbers.,,,,,,,,,,,Summer - Kiki,,abstract-content selected,08/01/2022,Yes,"Theilmann Michaela, Julia M Lemp, Volker Winkler, Jennifer Manne-Goehler, Maja E Marcus, Charlotte Probst, William A Lopez-Arboleda, Cara Ebert, Christian Bommer, Maya Mathur, Glennis Andall-Brereton, Silver K Bahendeka, Pascal Bovet, Farshad Farzadfar, Erfan Ghasemi, Mary T Mayige, Sahar Saeedi Moghaddam, Kibachio J Mwangi, Shohreh Naderimagham, Lela Sturua, Rifat Atun, Justine I Davies, Till Bärnighausen, Sebastian Vollmer and Pascal Geldsetzer","Theilmann Michaela, Julia M Lemp, Volker Winkler, Jennifer Manne-Goehler, Maja E Marcus, Charlotte Probst, William A Lopez-Arboleda, Cara Ebert, Christian Bommer, Maya Mathur, Glennis Andall-Brereton, Silver K Bahendeka, Pascal Bovet, Farshad Farzadfar, Erfan Ghasemi, Mary T Mayige, Sahar Saeedi Moghaddam, Kibachio J Mwangi, Shohreh Naderimagham, Lela Sturua, Rifat Atun, Justine I Davies, Till Bärnighausen, Sebastian Vollmer and Pascal Geldsetzer. 2022. The socioeconomic gradient of alcohol use: an analysis of nationally representative survey data from 55 low-income and middle-income countries. BMJ 378.0, no. nan (August): nan."
,Journal Article,109,Walter,,Willet,Jiaxi Yang; Frank Qian; Jorge E Chavarro; Sylvia H Ley; Deirdre K Tobias; Edwina Yeung; Stefanie N Hinkle; Wei Bao; Mengying Li; Aiyi Liu; James L Mills; Qi Sun; Walter C Willett; Frank B Hu; Cuilin Zhang,Modifiable risk factors and long term risk of type 2 diabetes among individuals with a history of gestational diabetes mellitus: prospective cohort study,BMJ,,,,,Sepember,,,2023,https://pubmed.ncbi.nlm.nih.gov/36130782/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,,Yes,"Yang Jiaxi, Frank Qian, Jorge E Chavarro, Sylvia H Ley, Deirdre K Tobias, Edwina Yeung, Stefanie N Hinkle, Wei Bao, Mengying Li, Aiyi Liu, James L Mills, Qi Sun, Walter C Willett, Frank B Hu and Cuilin Zhang","Yang Jiaxi, Frank Qian, Jorge E Chavarro, Sylvia H Ley, Deirdre K Tobias, Edwina Yeung, Stefanie N Hinkle, Wei Bao, Mengying Li, Aiyi Liu, James L Mills, Qi Sun, Walter C Willett, Frank B Hu and Cuilin Zhang. 2023. Modifiable risk factors and long term risk of type 2 diabetes among individuals with a history of gestational diabetes mellitus: prospective cohort study. BMJ nan, no. nan (Sepember): nan."
,Journal Article,109,Walter,,Willet,Yanping Li; Josje Schoufour; Dong D Wang; Klodian Dhana; An Pan; Xiaoran Liu; Mingyang Song; Gang Liu; Hyun Joon Shin; Qi Sun; Laila Al-Shaar; Molin Wang; Eric B Rimm; Ellen Hertzmark; Meir J Stampfer; Walter C Willett; Oscar H Franco; Frank B Hu,"Healthy lifestyle and life expectancy free of cancer, cardiovascular disease, and type 2 diabetes: prospective cohort study",BMJ,,,,,January,,,2020,https://pubmed.ncbi.nlm.nih.gov/31915124/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,01/01/2020,Yes,"Li Yanping, Josje Schoufour, Dong D Wang, Klodian Dhana, An Pan, Xiaoran Liu, Mingyang Song, Gang Liu, Hyun Joon Shin, Qi Sun, Laila Al-Shaar, Molin Wang, Eric B Rimm, Ellen Hertzmark, Meir J Stampfer, Walter C Willett, Oscar H Franco and Frank B Hu","Li Yanping, Josje Schoufour, Dong D Wang, Klodian Dhana, An Pan, Xiaoran Liu, Mingyang Song, Gang Liu, Hyun Joon Shin, Qi Sun, Laila Al-Shaar, Molin Wang, Eric B Rimm, Ellen Hertzmark, Meir J Stampfer, Walter C Willett, Oscar H Franco and Frank B Hu. 2020. Healthy lifestyle and life expectancy free of cancer, cardiovascular disease, and type 2 diabetes: prospective cohort study. BMJ nan, no. nan (January): nan."
,Journal Article,118,Shakhar,,Sexana,Sonia Saxena; Helen Skirrow; Helen Bedford; Kate Wighton,Covid-19 vaccines for teenagers: conversations and consent,BMJ,,374.0,,,September,,,2021,https://pubmed.ncbi.nlm.nih.gov/34551892/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,09/01/2021,No,"Saxena Sonia, Helen Skirrow, Helen Bedford and Kate Wighton","Saxena Sonia, Helen Skirrow, Helen Bedford and Kate Wighton. 2021. Covid-19 vaccines for teenagers: conversations and consent. BMJ 374.0, no. nan (September): nan."
,Journal Article,118,Shakhar,,Sexana,Sonia Saxena; Helen Skirrow; Helen Bedford,Routine vaccination during covid-19 pandemic response,BMJ,,369.0,,,June,,,2020,https://pubmed.ncbi.nlm.nih.gov/32546575/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,06/01/2020,No,"Saxena Sonia, Helen Skirrow and Helen Bedford","Saxena Sonia, Helen Skirrow and Helen Bedford. 2020. Routine vaccination during covid-19 pandemic response. BMJ 369.0, no. nan (June): nan."
,Journal Article,119,Goodarz,,Danaei,Anthony A Matthews; Goodarz Danaei; Nazrul Islam; Tobias Kurth,Target trial emulation: applying principles of randomised trials to observational studies,BMJ,,,,,August,,,2022,https://pubmed.ncbi.nlm.nih.gov/36041749/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,08/01/2022,Yes,"Matthews Anthony A, Goodarz Danaei, Nazrul Islam and Tobias Kurth","Matthews Anthony A, Goodarz Danaei, Nazrul Islam and Tobias Kurth. 2022. Target trial emulation: applying principles of randomised trials to observational studies. BMJ nan, no. nan (August): nan."
,Journal Article,85,Melani,,Cammett,Margaret E Kruk; Emilia J Ling; Asaf Bitton; Melani Cammett; Karen Cavanaugh; Mickey Chopra; Fadi El-Jardali; Rose Jallah Macauley; Mwihaki Kimura Muraguri; Shiro Konuma; Robert Marten; Frederick Martineau; Michael Myers; Kumanan Rasanathan; Enrique Ruelas; Agnès Soucat; Anung Sugihantono; Heiko Warnken,Building Resilient Health Systems: A Proposal for a Resilience Index,BMJ,No,357.0,,,May,,,2017,https://pubmed.ncbi.nlm.nih.gov/28536191/,No page numbers or issue number.,,,,,,,,,,,Kiki - 10/8/23 batch,,abstract-content selected,05/01/2017,Yes,"Kruk Margaret E, Emilia J Ling, Asaf Bitton, Melani Cammett, Karen Cavanaugh, Mickey Chopra, Fadi El-Jardali, Rose Jallah Macauley, Mwihaki Kimura Muraguri, Shiro Konuma, Robert Marten, Frederick Martineau, Michael Myers, Kumanan Rasanathan, Enrique Ruelas, Agnès Soucat, Anung Sugihantono and Heiko Warnken","Kruk Margaret E, Emilia J Ling, Asaf Bitton, Melani Cammett, Karen Cavanaugh, Mickey Chopra, Fadi El-Jardali, Rose Jallah Macauley, Mwihaki Kimura Muraguri, Shiro Konuma, Robert Marten, Frederick Martineau, Michael Myers, Kumanan Rasanathan, Enrique Ruelas, Agnès Soucat, Anung Sugihantono and Heiko Warnken. 2017. Building Resilient Health Systems: A Proposal for a Resilience Index. BMJ 357.0, no. nan (May): nan."
,Journal Article,35,Andrew,Dean,Ho,Tzu-Hung Liu; Andrew D Ho; Yu-Tien Hsu; Chih-Cheng Hsu,"Validation of the EQ-5D in Taiwan using Item 
Response Theory",BMC Public Helath,No,21.0,1,2305,December,,,2021,https://pubmed.ncbi.nlm.nih.gov/34923963/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,12/01/2021,Yes,"Liu Tzu-Hung, Andrew D Ho, Yu-Tien Hsu and Chih-Cheng Hsu","Liu Tzu-Hung, Andrew D Ho, Yu-Tien Hsu and Chih-Cheng Hsu. 2021. Validation of the EQ-5D in Taiwan using Item 
Response Theory. BMC Public Helath 21.0, no. 1 (December): 2305."
